fuente,Producto 2,mes,Agru. Ciclo,Fecha Seguimiento,Cuentas Norm,Saldo Norm,Cuentas Pendientes ,Saldo Pendiente,Momentos,Saldo Norm x Dia,
Credicompras,Credicompras,202510,CICLO 1,20220111,166,1286169488,26744,240763967529,01,1286169488,
Credicompras,Credicompras,202510,CICLO 1,20220112,225,1713915330,26685,240336221687,02,427745842,
Credicompras,Credicompras,202510,CICLO 1,20220113,259,1999980471,26651,240050156546,03,286065141,
Credicompras,Credicompras,202510,CICLO 1,20220114,323,2508652057,26587,239541484960,04,508671586,
Credicompras,Credicompras,202510,CICLO 1,20220115,443,3581185078,26467,238468951939,05,1072533021,
Credicompras,Credicompras,202510,CICLO 1,20220116,490,4008297398,26420,238041839619,06,427112320,
Credicompras,Credicompras,202510,CICLO 1,20220117,630,5171803732,26280,236878333285,07,1163506334,
Credicompras,Credicompras,202510,CICLO 1,20220118,793,6545245468,26117,235504891549,08,1373441736,
Credicompras,Credicompras,202510,CICLO 1,20220119,975,8221862000,25935,233828275017,09,1676616532,
Credicompras,Credicompras,202510,CICLO 1,20220120,1157,9804507686,25753,232245629331,10,1582645686,
Credicompras,Credicompras,202510,CICLO 1,20220121,1349,11300033078,25561,230750103939,11,1495525392,
Credicompras,Credicompras,202510,CICLO 1,20220122,1548,12946198226,25362,229103938791,12,1646165148,
Credicompras,Credicompras,202510,CICLO 1,20220123,1636,13704361603,25274,228345775414,13,758163377,
Credicompras,Credicompras,202510,CICLO 1,20220124,1910,15935686480,25000,226114450537,14,2231324877,
Credicompras,Credicompras,202510,CICLO 1,20220125,2514,21475588112,24396,220574548905,15,5539901632,
Credicompras,Credicompras,202510,CICLO 1,20220126,3158,27022143310,23752,215027993707,16,5546555198,
Credicompras,Credicompras,202510,CICLO 1,20220127,3988,34379168271,22922,207670968746,17,7357024961,
Credicompras,Credicompras,202510,CICLO 1,20220128,5099,43900946329,21811,198149190688,18,9521778058,
Credicompras,Credicompras,202510,CICLO 1,20220129,6199,53395691659,20711,188654445358,19,9494745330,
Credicompras,Credicompras,202510,CICLO 1,20220130,6869,59176468031,20041,182873668986,20,5780776372,
Credicompras,Credicompras,202510,CICLO 1,20220131,9498,82911462078,17412,159138674939,21,23734994047,
Credicompras,Credicompras,202510,CICLO 1,20251001,13276,1.17977E+11,13634,124073048359,22,35065626580,
Credicompras,Credicompras,202510,CICLO 1,20251002,18799,1.71957E+11,8111,70092653749,23,53980394610,
Credicompras,Credicompras,202510,CICLO 1,20251003,21080,1.92675E+11,5830,49375109481,24,20717544268,
Credicompras,Credicompras,202510,CICLO 1,20251004,22435,2.04226E+11,4475,37824266270,25,11550843211,
Credicompras,Credicompras,202204,CICLO 1,20220311,36,506172634,34151,321265897399,01,506172634,
Credicompras,Credicompras,202204,CICLO 1,20220312,49,629939931,34138,321142130102,02,123767297,
Credicompras,Credicompras,202204,CICLO 1,20220313,60,681895771,34127,321090174262,03,51955840,
Credicompras,Credicompras,202204,CICLO 1,20220314,134,1238147930,34053,320533922103,04,556252159,
Credicompras,Credicompras,202204,CICLO 1,20220315,236,2073421035,33951,319698648998,05,835273105,
Credicompras,Credicompras,202204,CICLO 1,20220316,455,4169866663,33732,317602203370,06,2096445628,
Credicompras,Credicompras,202204,CICLO 1,20220317,644,5721370407,33543,316050699626,07,1551503744,
Credicompras,Credicompras,202204,CICLO 1,20220318,846,7413407673,33341,314358662360,08,1692037266,
Credicompras,Credicompras,202204,CICLO 1,20220319,994,8488925503,33193,313283144530,09,1075517830,
Credicompras,Credicompras,202204,CICLO 1,20220320,1062,9043885054,33125,312728184979,10,554959551,
Credicompras,Credicompras,202204,CICLO 1,20220321,1138,9764696410,33049,312007373623,11,720811356,
Credicompras,Credicompras,202204,CICLO 1,20220322,1432,12328878866,32755,309443191167,12,2564182456,
Credicompras,Credicompras,202204,CICLO 1,20220323,1712,15070488209,32475,306701581824,13,2741609343,
Credicompras,Credicompras,202204,CICLO 1,20220324,2024,17972490995,32163,303799579038,14,2902002786,
Credicompras,Credicompras,202204,CICLO 1,20220325,2724,23901097173,31463,297870972860,15,5928606178,
Credicompras,Credicompras,202204,CICLO 1,20220326,3265,28353825646,30922,293418244387,16,4452728473,
Credicompras,Credicompras,202204,CICLO 1,20220327,3570,31193798747,30617,290578271286,17,2839973101,
Credicompras,Credicompras,202204,CICLO 1,20220328,4853,42869053152,29334,278903016881,18,11675254405,
Credicompras,Credicompras,202204,CICLO 1,20220329,6120,54980949036,28067,266791120997,19,12111895884,
Credicompras,Credicompras,202204,CICLO 1,20220330,8028,73491264093,26159,248280805940,20,18510315057,
Credicompras,Credicompras,202204,CICLO 1,20220331,11035,1.0212E+11,23152,219651889656,21,28628916284,
Credicompras,Credicompras,202204,CICLO 1,20220401,16370,1.54847E+11,17817,166924757753,22,52727131903,
Credicompras,Credicompras,202204,CICLO 1,20220402,26396,2.50765E+11,7791,71006808881,23,95917948872,
Credicompras,Credicompras,202204,CICLO 1,20220405,28276,2.69049E+11,5911,52722611690,24,18284197191,
Credicompras,Credicompras,202205,CICLO 1,20220411,194,1784106791,36492,346606302782,01,1784106791,
Credicompras,Credicompras,202205,CICLO 1,20220412,254,2353711908,36432,346036697665,02,569605117,
Credicompras,Credicompras,202205,CICLO 1,20220413,339,3005708668,36347,345384700905,03,651996760,
Credicompras,Credicompras,202205,CICLO 1,20220414,436,3917153554,36250,344473256019,04,911444886,
Credicompras,Credicompras,202205,CICLO 1,20220415,479,4299571106,36207,344090838467,05,382417552,
Credicompras,Credicompras,202205,CICLO 1,20220416,586,5184847854,36100,343205561719,06,885276748,
Credicompras,Credicompras,202205,CICLO 1,20220417,649,5849342690,36037,342541066883,07,664494836,
Credicompras,Credicompras,202205,CICLO 1,20220418,855,7527405371,35831,340863004202,08,1678062681,
Credicompras,Credicompras,202205,CICLO 1,20220419,1087,9487377899,35599,338903031674,09,1959972528,
Credicompras,Credicompras,202205,CICLO 1,20220420,1319,11420027508,35367,336970382065,10,1932649609,
Credicompras,Credicompras,202205,CICLO 1,20220421,1580,14179504731,35106,334210904842,11,2759477223,
Credicompras,Credicompras,202205,CICLO 1,20220422,1922,17311004151,34764,331079405422,12,3131499420,
Credicompras,Credicompras,202205,CICLO 1,20220423,2126,19058325198,34560,329332084375,13,1747321047,
Credicompras,Credicompras,202205,CICLO 1,20220424,2250,20284055533,34436,328106354040,14,1225730335,
Credicompras,Credicompras,202205,CICLO 1,20220425,2985,26971473886,33701,321418935687,15,6687418353,
Credicompras,Credicompras,202205,CICLO 1,20220426,3761,34306397011,32925,314084012562,16,7334923125,
Credicompras,Credicompras,202205,CICLO 1,20220427,4738,43675968631,31948,304714440942,17,9369571620,
Credicompras,Credicompras,202205,CICLO 1,20220428,5985,55860272683,30701,292530136890,18,12184304052,
Credicompras,Credicompras,202205,CICLO 1,20220429,8122,76122282819,28564,272268126754,19,20262010136,
Credicompras,Credicompras,202205,CICLO 1,20220430,10364,96572437517,26322,251817972056,20,20450154698,
Credicompras,Credicompras,202205,CICLO 1,20220501,12352,1.15549E+11,24334,232841624971,21,18976347085,
Credicompras,Credicompras,202205,CICLO 1,20220502,21900,2.12209E+11,14786,136181817730,22,96659807241,
Credicompras,Credicompras,202205,CICLO 1,20220503,26505,2.56903E+11,10181,91487003176,23,44694814554,
Credicompras,Credicompras,202205,CICLO 1,20220504,29336,2.83216E+11,7350,65174585469,24,26312417707,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211210,196,551880084,41801,100251126649,01,551880084,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211211,354,875365021,41643,99927641712,02,323484937,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211212,465,1144209491,41532,99658797242,03,268844470,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211213,695,1706025892,41302,99096980841,04,561816401,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211214,968,2356939224,41029,98446067509,05,650913332,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211215,1415,3544176176,40582,97258830557,06,1187236952,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211216,2155,5166548825,39842,95636457908,07,1622372649,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211217,2802,6817561579,39195,93985445154,08,1651012754,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211218,3209,7828090860,38788,92974915873,09,1010529281,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211219,3541,8435382857,38456,92367623876,10,607291997,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211220,4470,10833683201,37527,89969323532,11,2398300344,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211221,5304,12752255344,36693,88050751389,12,1918572143,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211222,6130,14827748593,35867,85975258140,13,2075493249,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211223,6963,17013388221,35034,83789618512,14,2185639628,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211224,7582,18597131755,34415,82205874978,15,1583743534,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211225,7824,19141231107,34173,81661775626,16,544099352,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211226,8387,20373676353,33610,80429330380,17,1232445246,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211227,9881,23992161086,32116,76810845647,18,3618484733,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211228,11479,28107783347,30518,72695223386,19,4115622261,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211229,13283,31985756553,28714,68817250180,20,3877973206,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211230,15573,37101028588,26424,63701978145,21,5115272035,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20211231,17318,41007721904,24679,59795284829,22,3906693316,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20220101,17770,42045360659,24227,58757646074,23,1037638755,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20220102,19896,46751045556,22101,54051961177,24,4705684897,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20220103,26799,62830627528,15198,37972379205,25,16079581972,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20220104,30178,70713296789,11819,30089709944,26,7882669261,
MasterCard,Alkosto MasterCard,202201,CICLO 1,20220105,32949,77296448590,9048,23506558143,27,6583151801,
MasterCard,Alkosto MasterCard,202201,CICLO 3,20211220,136,290859080,27416,65523747049,01,290859080,
MasterCard,Alkosto MasterCard,202201,CICLO 3,20211221,318,658903852,27234,65155702277,02,368044772,
